,Dataset,Classifier,Training accuracy,Validation accuracy,Classifier object
0,"['TF', 'stem', 'english', (1, 1)]",randomforests,0.6828520839008445,0.6882533197139938,{'clf__n_estimators': 1000}
1,"['TF', 'stem', 'english', (1, 1)]",logreg,0.7793516752928358,0.789785495403473,"{'clf__C': 1, 'clf__penalty': 'l2'}"
2,"['TF', 'stem', 'english', (1, 1)]",xgboost,0.7328384636338873,0.73585291113381,{'clf__n_estimators': 1000}
3,"['TF', 'stem', 'english', (1, 1)]",knn,0.42481612639607735,0.43186925434116447,{'clf__n_neighbors': 10}
4,"['TF', 'stem', 'english', (1, 1)]",nb,0.8057749931898666,0.8181818181818182,"{'clf__alpha': 1, 'clf__fit_prior': True}"
5,"['TF', 'stem', 'english', (1, 1)]",svm,0.7421683464995914,0.7524004085801839,"{'clf__C': 1, 'clf__kernel': 'linear'}"
6,"['TF', 'stem', 'english', (1, 2)]",randomforests,0.6713429583219831,0.6770173646578141,{'clf__n_estimators': 500}
7,"['TF', 'stem', 'english', (1, 2)]",logreg,0.7701579950967039,0.7948927477017365,"{'clf__C': 1, 'clf__penalty': 'l2'}"
8,"['TF', 'stem', 'english', (1, 2)]",xgboost,0.7295695995641515,0.7338100102145046,{'clf__n_estimators': 1000}
9,"['TF', 'stem', 'english', (1, 2)]",knn,0.40499863797330427,0.39918283963227785,{'clf__n_neighbors': 10}
10,"['TF', 'stem', 'english', (1, 2)]",nb,0.8161944974121493,0.8173646578140961,"{'clf__alpha': 1, 'clf__fit_prior': True}"
11,"['TF', 'stem', 'english', (1, 2)]",svm,0.7431217651865977,0.7495403472931563,"{'clf__C': 1, 'clf__kernel': 'linear'}"
12,"['TF', 'stem', 'english', (2, 2)]",randomforests,0.5026559520566604,0.5084780388151174,{'clf__n_estimators': 1000}
13,"['TF', 'stem', 'english', (2, 2)]",logreg,0.5327567420321438,0.5624106230847804,"{'clf__C': 100, 'clf__penalty': 'l2'}"
14,"['TF', 'stem', 'english', (2, 2)]",xgboost,0.49366657586488694,0.5054136874361593,{'clf__n_estimators': 1000}
15,"['TF', 'stem', 'english', (2, 2)]",knn,0.40350040860800873,0.4034729315628192,{'clf__n_neighbors': 100}
16,"['TF', 'stem', 'english', (2, 2)]",nb,0.619517842549714,0.6339121552604698,"{'clf__alpha': 0, 'clf__fit_prior': False}"
17,"['TF', 'stem', 'english', (2, 2)]",svm,0.4955734132388995,0.508273748723187,"{'clf__C': 1, 'clf__kernel': 'linear'}"
18,"['TF', 'stem', None, (1, 1)]",randomforests,0.6975619722146554,0.7058222676200204,{'clf__n_estimators': 1000}
19,"['TF', 'stem', None, (1, 1)]",logreg,0.8077499318986652,0.81511746680286,"{'clf__C': 1, 'clf__penalty': 'l2'}"
20,"['TF', 'stem', None, (1, 1)]",xgboost,0.7602152002179243,0.763023493360572,{'clf__n_estimators': 1000}
21,"['TF', 'stem', None, (1, 1)]",knn,0.46227186052846636,0.4665985699693565,{'clf__n_neighbors': 5}
22,"['TF', 'stem', None, (1, 1)]",nb,0.8264096976300735,0.8241062308478039,"{'clf__alpha': 1, 'clf__fit_prior': True}"
23,"['TF', 'stem', None, (1, 1)]",svm,0.7622582402615091,0.7783452502553626,"{'clf__C': 1, 'clf__kernel': 'linear'}"
24,"['TF', 'stem', None, (1, 2)]",randomforests,0.6719558703350585,0.6874361593462717,{'clf__n_estimators': 1000}
25,"['TF', 'stem', None, (1, 2)]",logreg,0.80890765459003,0.8161389172625128,"{'clf__C': 1, 'clf__penalty': 'l2'}"
26,"['TF', 'stem', None, (1, 2)]",xgboost,0.7542903840915282,0.7703779366700715,{'clf__n_estimators': 1000}
27,"['TF', 'stem', None, (1, 2)]",knn,0.43162625987469355,0.4373850868232891,{'clf__n_neighbors': 5}
28,"['TF', 'stem', None, (1, 2)]",nb,0.8276355216562244,0.8355464759959143,"{'clf__alpha': 1, 'clf__fit_prior': True}"
29,"['TF', 'stem', None, (1, 2)]",svm,0.7788068646145464,0.8096016343207354,"{'clf__C': 1, 'clf__kernel': 'linear'}"
30,"['TF', 'stem', None, (2, 2)]",randomforests,0.568578044129665,0.5906026557711951,{'clf__n_estimators': 1000}
31,"['TF', 'stem', None, (2, 2)]",logreg,0.7102288204848815,0.723391215526047,"{'clf__C': 10, 'clf__penalty': 'l2'}"
32,"['TF', 'stem', None, (2, 2)]",xgboost,0.6396077363116317,0.6547497446373851,{'clf__n_estimators': 1000}
33,"['TF', 'stem', None, (2, 2)]",knn,0.40377281394715336,0.40306435137895813,{'clf__n_neighbors': 10}
34,"['TF', 'stem', None, (2, 2)]",nb,0.7707028057749932,0.7801838610827375,"{'clf__alpha': 1, 'clf__fit_prior': False}"
35,"['TF', 'stem', None, (2, 2)]",svm,0.6827158812312721,0.6853932584269663,"{'clf__C': 10, 'clf__kernel': 'linear'}"
36,"['TF', 'lemmatize', 'english', (1, 1)]",randomforests,0.6808771451920458,0.6898876404494382,{'clf__n_estimators': 1000}
37,"['TF', 'lemmatize', 'english', (1, 1)]",logreg,0.7873195314628166,0.7959141981613892,"{'clf__C': 1, 'clf__penalty': 'l2'}"
38,"['TF', 'lemmatize', 'english', (1, 1)]",xgboost,0.7305911195859439,0.7329928498467825,{'clf__n_estimators': 1000}
39,"['TF', 'lemmatize', 'english', (1, 1)]",knn,0.4175973849087442,0.42083758937691523,{'clf__n_neighbors': 50}
40,"['TF', 'lemmatize', 'english', (1, 1)]",nb,0.8157177880686461,0.8163432073544433,"{'clf__alpha': 1, 'clf__fit_prior': True}"
41,"['TF', 'lemmatize', 'english', (1, 1)]",svm,0.7410787251430128,0.7593462717058223,"{'clf__C': 1, 'clf__kernel': 'linear'}"
42,"['TF', 'lemmatize', 'english', (1, 2)]",randomforests,0.6876191773358757,0.7009193054136874,{'clf__n_estimators': 500}
43,"['TF', 'lemmatize', 'english', (1, 2)]",logreg,0.7790792699536911,0.7838610827374872,"{'clf__C': 1, 'clf__penalty': 'l2'}"
44,"['TF', 'lemmatize', 'english', (1, 2)]",xgboost,0.7276627621901389,0.7387129724208376,{'clf__n_estimators': 1000}
45,"['TF', 'lemmatize', 'english', (1, 2)]",knn,0.4056796513211659,0.4071501532175689,{'clf__n_neighbors': 50}
46,"['TF', 'lemmatize', 'english', (1, 2)]",nb,0.8192590574775266,0.8232890704800817,"{'clf__alpha': 1, 'clf__fit_prior': True}"
47,"['TF', 'lemmatize', 'english', (1, 2)]",svm,0.738218469081994,0.7530132788559755,"{'clf__C': 1, 'clf__kernel': 'linear'}"
48,"['TF', 'lemmatize', 'english', (2, 2)]",randomforests,0.48992100245164805,0.5003064351378959,{'clf__n_estimators': 100}
49,"['TF', 'lemmatize', 'english', (2, 2)]",logreg,0.5257423045491691,0.533605720122574,"{'clf__C': 10, 'clf__penalty': 'l1'}"
50,"['TF', 'lemmatize', 'english', (2, 2)]",xgboost,0.4921002451648052,0.4909090909090909,{'clf__n_estimators': 1000}
51,"['TF', 'lemmatize', 'english', (2, 2)]",knn,0.40384091528193955,0.40367722165474973,{'clf__n_neighbors': 50}
52,"['TF', 'lemmatize', 'english', (2, 2)]",nb,0.619109234540997,0.6261491317671093,"{'clf__alpha': 0, 'clf__fit_prior': False}"
53,"['TF', 'lemmatize', 'english', (2, 2)]",svm,0.49169163715608827,0.4919305413687436,"{'clf__C': 1, 'clf__kernel': 'linear'}"
54,"['TF', 'lemmatize', None, (1, 1)]",randomforests,0.698651593571234,0.71317671092952,{'clf__n_estimators': 500}
55,"['TF', 'lemmatize', None, (1, 1)]",logreg,0.8100653772813947,0.8259448416751788,"{'clf__C': 1, 'clf__penalty': 'l2'}"
56,"['TF', 'lemmatize', None, (1, 1)]",xgboost,0.7593298828657041,0.7695607763023493,{'clf__n_estimators': 1000}
57,"['TF', 'lemmatize', None, (1, 1)]",knn,0.4577771724325797,0.46598569969356485,{'clf__n_neighbors': 10}
58,"['TF', 'lemmatize', None, (1, 1)]",nb,0.8310405883955325,0.8349336057201225,"{'clf__alpha': 1, 'clf__fit_prior': True}"
59,"['TF', 'lemmatize', None, (1, 1)]",svm,0.7732225551620812,0.778140960163432,"{'clf__C': 1, 'clf__kernel': 'linear'}"
60,"['TF', 'lemmatize', None, (1, 2)]",randomforests,0.6725006810133478,0.6800817160367723,{'clf__n_estimators': 500}
61,"['TF', 'lemmatize', None, (1, 2)]",logreg,0.8091119585943884,0.8216547497446374,"{'clf__C': 1, 'clf__penalty': 'l2'}"
62,"['TF', 'lemmatize', None, (1, 2)]",xgboost,0.7573549441569055,0.7779366700715016,{'clf__n_estimators': 1000}
63,"['TF', 'lemmatize', None, (1, 2)]",knn,0.4335330972487061,0.4314606741573034,{'clf__n_neighbors': 5}
64,"['TF', 'lemmatize', None, (1, 2)]",nb,0.8286570416780169,0.8455566905005107,"{'clf__alpha': 1, 'clf__fit_prior': False}"
65,"['TF', 'lemmatize', None, (1, 2)]",svm,0.7834377553800055,0.7875383043922369,"{'clf__C': 1, 'clf__kernel': 'linear'}"
66,"['TF', 'lemmatize', None, (2, 2)]",randomforests,0.5659220920730046,0.5763023493360572,{'clf__n_estimators': 1000}
67,"['TF', 'lemmatize', None, (2, 2)]",logreg,0.7090710977935167,0.7289070480081716,"{'clf__C': 10, 'clf__penalty': 'l2'}"
68,"['TF', 'lemmatize', None, (2, 2)]",xgboost,0.6391310269681286,0.6420837589376915,{'clf__n_estimators': 1000}
69,"['TF', 'lemmatize', None, (2, 2)]",knn,0.4037047126123672,0.4034729315628192,{'clf__n_neighbors': 50}
70,"['TF', 'lemmatize', None, (2, 2)]",nb,0.7675020430400435,0.7928498467824311,"{'clf__alpha': 1, 'clf__fit_prior': False}"
71,"['TF', 'lemmatize', None, (2, 2)]",svm,0.6816262598746935,0.6931562819203269,"{'clf__C': 10, 'clf__kernel': 'linear'}"
72,"['TF', None, 'english', (1, 1)]",randomforests,0.6897984200490329,0.6909090909090909,{'clf__n_estimators': 500}
73,"['TF', None, 'english', (1, 1)]",logreg,0.7871833287932444,0.8010214504596527,"{'clf__C': 1, 'clf__penalty': 'l2'}"
74,"['TF', None, 'english', (1, 1)]",xgboost,0.7273903568509943,0.7291113381001021,{'clf__n_estimators': 1000}
75,"['TF', None, 'english', (1, 1)]",knn,0.413715608825933,0.42083758937691523,{'clf__n_neighbors': 50}
76,"['TF', None, 'english', (1, 1)]",nb,0.8142876600381368,0.8296220633299285,"{'clf__alpha': 1, 'clf__fit_prior': True}"
77,"['TF', None, 'english', (1, 1)]",svm,0.7463225279215473,0.7613891726251277,"{'clf__C': 1, 'clf__kernel': 'linear'}"
78,"['TF', None, 'english', (1, 2)]",randomforests,0.6991283029147372,0.7117466802860062,{'clf__n_estimators': 500}
79,"['TF', None, 'english', (1, 2)]",logreg,0.7778534459275401,0.7942798774259449,"{'clf__C': 1, 'clf__penalty': 'l2'}"
80,"['TF', None, 'english', (1, 2)]",xgboost,0.7247344047943339,0.736261491317671,{'clf__n_estimators': 1000}
81,"['TF', None, 'english', (1, 2)]",knn,0.40486243530373195,0.40020429009193054,{'clf__n_neighbors': 50}
82,"['TF', None, 'english', (1, 2)]",nb,0.8201443748297467,0.832073544433095,"{'clf__alpha': 1, 'clf__fit_prior': True}"
83,"['TF', None, 'english', (1, 2)]",svm,0.7459139199128303,0.750561797752809,"{'clf__C': 1, 'clf__kernel': 'linear'}"
84,"['TF', None, 'english', (2, 2)]",randomforests,0.4818169436120948,0.4982635342185904,{'clf__n_estimators': 500}
85,"['TF', None, 'english', (2, 2)]",logreg,0.5108281122309998,0.5262512768130746,"{'clf__C': 10, 'clf__penalty': 'l1'}"
86,"['TF', None, 'english', (2, 2)]",xgboost,0.47834377553800056,0.4817160367722165,{'clf__n_estimators': 1000}
87,"['TF', None, 'english', (2, 2)]",knn,0.40350040860800873,0.4034729315628192,{'clf__n_neighbors': 100}
88,"['TF', None, 'english', (2, 2)]",nb,0.5945927540179787,0.6177732379979571,"{'clf__alpha': 1, 'clf__fit_prior': True}"
89,"['TF', None, 'english', (2, 2)]",svm,0.4695587033505857,0.47763023493360574,"{'clf__C': 1, 'clf__kernel': 'linear'}"
90,"['TF', None, None, (1, 1)]",randomforests,0.6979024788885863,0.7074565883554648,{'clf__n_estimators': 1000}
91,"['TF', None, None, (1, 1)]",logreg,0.8124489239989103,0.8171603677221655,"{'clf__C': 1, 'clf__penalty': 'l2'}"
92,"['TF', None, None, (1, 1)]",xgboost,0.7608281122309998,0.7642492339121553,{'clf__n_estimators': 1000}
93,"['TF', None, None, (1, 1)]",knn,0.4627485698719695,0.46639427987742593,{'clf__n_neighbors': 10}
94,"['TF', None, None, (1, 1)]",nb,0.8368292018523563,0.8253319713993871,"{'clf__alpha': 1, 'clf__fit_prior': True}"
95,"['TF', None, None, (1, 1)]",svm,0.7668891310269681,0.7801838610827375,"{'clf__C': 1, 'clf__kernel': 'linear'}"
96,"['TF', None, None, (1, 2)]",randomforests,0.6707981476436938,0.6743615934627171,{'clf__n_estimators': 500}
97,"['TF', None, None, (1, 2)]",logreg,0.8070689185508036,0.8194075587334014,"{'clf__C': 10, 'clf__penalty': 'l2'}"
98,"['TF', None, None, (1, 2)]",xgboost,0.7519068373740125,0.7622063329928499,{'clf__n_estimators': 1000}
99,"['TF', None, None, (1, 2)]",knn,0.4361890493053664,0.4390194075587334,{'clf__n_neighbors': 5}
100,"['TF', None, None, (1, 2)]",nb,0.8326069190956142,0.8375893769152196,"{'clf__alpha': 1, 'clf__fit_prior': False}"
101,"['TF', None, None, (1, 2)]",svm,0.7803731953146281,0.8028600612870276,"{'clf__C': 1, 'clf__kernel': 'linear'}"
102,"['TF', None, None, (2, 2)]",randomforests,0.5649686733859983,0.5877425944841675,{'clf__n_estimators': 1000}
103,"['TF', None, None, (2, 2)]",logreg,0.7098883138109507,0.7268641470888662,"{'clf__C': 10, 'clf__penalty': 'l2'}"
104,"['TF', None, None, (2, 2)]",xgboost,0.6369517842549713,0.6429009193054137,{'clf__n_estimators': 1000}
105,"['TF', None, None, (2, 2)]",knn,0.40350040860800873,0.4034729315628192,{'clf__n_neighbors': 100}
106,"['TF', None, None, (2, 2)]",nb,0.7759466085535276,0.7856996935648621,"{'clf__alpha': 1, 'clf__fit_prior': False}"
107,"['TF', None, None, (2, 2)]",svm,0.6891174067011714,0.6902962206332993,"{'clf__C': 10, 'clf__kernel': 'linear'}"
108,"['TFIDF', 'stem', 'english', (1, 1)]",randomforests,0.6795151184963225,0.6927477017364658,{'clf__n_estimators': 500}
109,"['TFIDF', 'stem', 'english', (1, 1)]",logreg,0.795491691637156,0.7993871297242083,"{'clf__C': 10, 'clf__penalty': 'l2'}"
110,"['TFIDF', 'stem', 'english', (1, 1)]",xgboost,0.7176518659765732,0.7327885597548519,{'clf__n_estimators': 1000}
111,"['TFIDF', 'stem', 'english', (1, 1)]",knn,0.6934077907926995,0.6862104187946885,{'clf__n_neighbors': 100}
112,"['TFIDF', 'stem', 'english', (1, 1)]",nb,0.8017570144374829,0.8083758937691522,"{'clf__alpha': 1, 'clf__fit_prior': False}"
113,"['TFIDF', 'stem', 'english', (1, 1)]",svm,0.781530918005993,0.7981613891726251,"{'clf__C': 1, 'clf__kernel': 'linear'}"
114,"['TFIDF', 'stem', 'english', (1, 2)]",randomforests,0.6881639880141651,0.6917262512768131,{'clf__n_estimators': 500}
115,"['TFIDF', 'stem', 'english', (1, 2)]",logreg,0.7902478888586216,0.8096016343207354,"{'clf__C': 100, 'clf__penalty': 'l2'}"
116,"['TFIDF', 'stem', 'english', (1, 2)]",xgboost,0.712952873876328,0.7301327885597548,{'clf__n_estimators': 1000}
117,"['TFIDF', 'stem', 'english', (1, 2)]",knn,0.7046445110324162,0.7033707865168539,{'clf__n_neighbors': 100}
118,"['TFIDF', 'stem', 'english', (1, 2)]",nb,0.795491691637156,0.8112359550561797,"{'clf__alpha': 1, 'clf__fit_prior': False}"
119,"['TFIDF', 'stem', 'english', (1, 2)]",svm,0.787455734132389,0.8044943820224719,"{'clf__C': 1, 'clf__kernel': 'linear'}"
120,"['TFIDF', 'stem', 'english', (2, 2)]",randomforests,0.4987741759738491,0.5107252298263534,{'clf__n_estimators': 500}
121,"['TFIDF', 'stem', 'english', (2, 2)]",logreg,0.6083492236447834,0.6177732379979571,"{'clf__C': 100, 'clf__penalty': 'l2'}"
122,"['TFIDF', 'stem', 'english', (2, 2)]",xgboost,0.48726505039498774,0.4917262512768131,{'clf__n_estimators': 1000}
123,"['TFIDF', 'stem', 'english', (2, 2)]",knn,0.4126259874693544,0.4034729315628192,{'clf__n_neighbors': 100}
124,"['TFIDF', 'stem', 'english', (2, 2)]",nb,0.6110051757014437,0.6312563840653729,"{'clf__alpha': 1, 'clf__fit_prior': False}"
